,Comments,Emotion_predicted
527,ma jaganana's ma votu meke,Negative
528,you are a big thief,Negative
529,there is no tdp party in up,Negative
530,super jijgn,Negative
531,i can trust ravana but i don't trust you jaganmohan reddy,Positive
532,"alu, no eyes, no eyes, did you not give the son's name as somalingam?",Negative
533,how did you get all the properties jagan? why do poor people stay poor??,Negative
534,ji jagan,Negative
535,good dialogue sir,Negative
536,"think about the capital of amaravati, you will come again and those who are scolding you will cheer you up",Negative
537,the cabin can't be done for years.,Negative
538,"it is true that you have released the manifesto as you said, 40 years of experience has made it necessary to learn from you, unfortunately chandrababu",Positive
539,nuvvu cheater ra,Negative
540,"how many houses have you built, you bastard",Negative
541,super anna,Negative
542,my vote for ycp jagan fixed,Negative
543,next cm jagan sir2024,Negative
544,"due to your ardam bardam knowledge, the party leaders have left the workers in the air and this time there are chances that you will be sent home.",Positive
545,super cm,Negative
546,you have to come again and again jagan anna,Negative
547,420 tdp,Positive
548,jai jai jagan,Negative
549,jai jagan anna,Negative
550,"brother naku house patta vachindi but house <a href=""http://kattukokoledu money/"">kattukokoledu money</a> problem but ipudu house govt kattistundi anrunaru 18000 to idi nijama",Positive
551,"babu should come, the poor should go to other states, this is the slogan",Negative
552,"babu should come, the poor should go to other states, this is the slogan",Negative
553,420 babu mosagadu,Negative
554,jai jagan's brother,Negative
555,stop it sir,Negative
556,ysr fake government,Negative
557,jalaganna no one will believe me,Negative
558,babu ne sode apu ne sode a dannam ra to you ne centu,Negative
559,what have you done raw waste cm in up spl status no take money and press the button from the central and you swallow the rest of the money,Positive
560,jai jagan anna,Negative
561,jai jagan jai yasar,Negative
562,anna mundhe jewed woi anna i anyanam chhaiku anna certificates klug undaye ana mosapu jaganna,Negative
563,jai telugu country,Negative
564,big 420 cbn,Negative
565,"before the disk notification, we will lose without any sweeties",Negative
566,"unfortunately, your father is good",Negative
567,bye bye gagan close,Negative
568,jai jagan anna,Negative
569,"if someone comes and destroys the state, if you think alternate better, then he will also go in the same suit, no one can see this state anymore.",Positive
570,"if the manifesto of welfare schemes is made, tdp will be grounded",Negative
571,good bye jagan anna,Negative
572,ysr,Positive
573,do you have shakhishi paper?,Negative
574,you did not cheat sir,Negative
575,you are a yard thief,Negative
576,chameleon has changed colors vennupotu babu false promises al free babu jai jagan jai essar jai ysrcp,Positive
577,jai jagan sir,Negative
578,bye bye jagan,Positive
579,appara pooka erri pookula sollu you say,Negative
580,"if you were not up then, you gave lands and gave loans to scs",Negative
581,andharu kottukondi evaru vachina ee rastraniki origedi em ledhu atleast aayana votes konukkodanki dabbulu vesi divala teyaledhu 10 years venakki vellindi state nee valla millalni elagayya nammedi employees ki salary iche paristiti kuda ledhu ekkada appu chesi votes konukkodame pani,Positive
582,jai jagan anna,Negative
583,ekanga elle kattadu nee swartam kosam vatini allott cheyaledu last ten months lo smasnam lo okka cent iste neeru drainege rodlu vudyoga sauaryalu yekkada drama lu apanna neekidi katti drama babai hatya nee patra meenanna kalamlo dochukunna fifty thousand crores yemaindi nee palace darilo pedala illlu kottesave dr sudakar lanti varini pitcollani chesave anantababu savanna door delivery iste yemchesavayya edi nee palana musali puli kata neeku saripotundi,Positive
584,"you shouldn't trust a cheater, jalaganna",Negative
585,"shame on you, you called people from all walks of life and you are talking shamelessly again",Negative
586,you are ours alone,Positive
587,jai tdp,Negative
588,"if you are the cm this time, you will be fine",Negative
589,infatuated by apara,Negative
590,we don't want the government,Negative
591,special status? answer this one question or what happened to alcohol prohibition?,Positive
592,don't believe babu,Negative
593,this thief tv is a support for such theft,Negative
594,why did you increase the current bill of petrol diesel rates?? are you eating 2 per stomach?,Positive
595,we are asking sakshi if your mother is mogudi,Negative
596,jagan said that the old hosing bill was not passed,Negative
597,kamma paleru brokers should get rid of their poverty,Negative
598,chandra babu may copy the nava ratnalu and put in his manifesto with improved/modified version he will declare 1 5 cents in urban areas and 2 cents in rural areas to the poor and bpl people,Positive
599,jay saban,Negative
600,the pictures that do not look good must go,Negative
601,apara babu pour your blood,Negative
602,ys jagan mohan reddy is the beacon of hope for the poor people,Negative
603,"ntr is a victim of chandrababu's conspiracy, ramoji rao radhakrishna cooperates with brn",Positive
604,chandrababu skills development scam jd laxminarayan roll lokesh optical fiber grid scam esi scam purchase of telephone tampering tools case ed probe ongoing,Positive
605,chandrababu sivaramakrishna commission report threw it in the dustbin,Negative
606,5od evil eye garu see,Negative
607,looting and sharing is not enslavement,Negative
608,jai jagan,Negative
609,sanction house loans,Negative
610,mani fastu lu vastutin potuntai but people's cure chaisai mani fastu lu one & only vysarcp navaratnam,Positive
611,anna clear the problem of five villages anna this problem in vizag anna anna you are the cm anna who worked on your call in covid,Positive
612,jai jagan jai sharmila jai ​​yasser,Negative
613,manifesto tdp 2024 every kamma gets 5 acres from his own constituency and every kamma student gets 5000 monthly,Positive
