,Comments,Emotion_predicted
380,jai jagan anna jai ​​nani garu 2024 next cm jagan anna,Positive
381,anna super nani anna's speech,Positive
382,super anna,Positive
383,super speech,Positive
384,he has a mustache,Positive
385,you are super sir,Positive
386,good speech nani,Positive
387,excellent speech,Positive
388,super said sir,Positive
389,jai nani jai jagan,Positive
390,"if people become slaves to the leaders of some party, if you risk your lives for the leaders, it is your people who will fall on the road.",Positive
391,all dummy pieces,Positive
392,where are your children studying?,Positive
393,"abba abba what a speech anna, even if i remember my past for a little while, i read wrong, there are such facilities, i am still in a good position, vani nemo.",Positive
394,super speech,Positive
395,"we want jagane, we want jagan, we want jagan, we want jagan, our jagan",Positive
396,super sir speech,Positive
397,did anyone give you the script or was it all whiskey on the rocks? leave any dialogues in vademma movie too,Positive
398,super wasp sir,Positive
399,super speech nani anna,Positive
400,excellent speech tq,Positive
401,superb speech sir,Positive
402,super sir jai jagan anna no1cm in india jai ysr,Positive
403,"ellara, your yadava is good",Positive
404,"nani has increased the dose in the speech, super",Positive
405,well said sir super super excellent,Positive
406,super anna your speech,Positive
407,jai jagan,Positive
408,nani anna gave it,Positive
409,what you have said is 100% true,Positive
410,bale bale said sir,Positive
411,super nani garu we listen to jagan's speech as attentively as we listen to your speech.,Positive
412,"everyone will sit next to jagan. after 2024, kodi, wait, why hurry?",Positive
413,"cabin d dept scheme stands for loot, share, eat jagan scheme dbt direct benefit transfer",Positive
414,hi nani anna mee speech super anna,Positive
415,very funny speech nani comedy well done,Positive
416,"super nani first time i watched the video without skipping, excellent speech and explanation",Positive
417,hats off nani garu,Positive
418,my teeth are crooked,Positive
419,super ann,Positive
420,you say like jaganmohan,Positive
421,"if we return the whole state of nani perna, 175 will be 175 and kapuku's intelligence will be 100000% karat.",Positive
422,name nani garu you want cm,Positive
423,nani garu you are super,Positive
424,super nani sir,Positive
425,anna named super speech,Positive
426,nani garu your analysis is correct,Positive
427,super speech sir,Positive
428,jai jagan jai ycp said super speech nanny garu to understand well,Positive
429,superb,Positive
430,please provide jobs and development what is the use of these politics,Positive
431,nani garu is called super leader,Positive
432,please provide jobs and development what is the use of these politics,Positive
433,jayaho jagananna jayaho,Positive
434,"aha! no matter what dramas are being played to make people mad, on the one hand you have covered the loss you want and are still doing it, so these dramas will not affect the people.",Positive
435,relli is kingship for them too,Positive
436,kaavali jagan malli malli ravali jagan jai jagan,Positive
437,next nani,Positive
438,super mp raju,Positive
439,jai perinani anna peru kitne sir next mla jai jagan 2024 ysrcp sweep ap development leader jaganna all karnataka people supported jaganna i am in bangalore people,Positive
440,how many ministers are there?,Positive
441,jai jagan anna,Positive
442,nani garu what you said is true jai jagan mohan reddy jai nani brothers,Positive
443,have you come to develop the state or to destroy it?,Positive
444,guards took 2 locks in cabin time,Positive
445,up was destroyed,Positive
446,jai jaegan jai jaegan jai parani nani anna,Positive
447,cm jagan is a leader who knows the hardships of the people,Positive
448,so you can find it,Positive
449,you are killing those dalits,Positive
450,yes anna crct ga chepparu anni dabbulu unnavalaku kuda edi arthamavvalli nijam anna ipudu govt schools chadive pillalu repu manchi position lo untaaru na jagan sir valla yes it is the real development i accept anna jai jagan anna jai jai jagan anna luv u jagan sir,Positive
451,jagan oka criminal,Positive
452,you've got a potion,Positive
453,rip sibin pappu naidu pavla package kalyan naidu,Positive
454,where are your children studying where are nani & jagan's children studying ra thorri palloda,Positive
455,super speech nani anna jai ​​jagan anna,Positive
456,super,Positive
457,"super abba, nani, this still has to go, you have made people crazy, you have made a director go crazy, when you say that a director has appeared in you, the scenes appeared in front of your eyes.",Positive
458,"don't distribute money to people, development should be done, watch zip and video, and be ashamed.",Positive
459,y s jagan mohan ,Positive
460,speech is about caste,Positive
461,super excellent talk nani sir garu jai jagan jai jai yasirseep,Positive
462,narsapuram almost jsp confirm,Positive
463,pretam bhajan bhajan,Positive
464,super super speech,Positive
465,super super sir,Positive
466,sir please don't say 10% of the people,Positive
467,jai jagan,Positive
468,like this type of content from leaders ilage yee speech ni thesukuni velithe definitely yrscp will wil win again in 2024 need this type of speech s from all,Positive
469,"nani's speech was amazing, jai jagan",Positive
470,little anna on jai jagan anna jai,Positive
471,super speech nani sir,Positive
472,jagan only star campaigner remaining leaders are just numbers they not attracted people jagan and you ravali what kind of people are not profitable,Positive
473,"what kind of caste politics, what good thing have i done for you, swami?",Positive
474,jai jegan,Positive
475,jai ho yasar sup jai janneta jagan ana jai yasar cup super speech sir,Positive
476,nani garu called super speech,Positive
477,the speech of nani pai pai gadda of our village is super,Positive
478,do you work to reduce my debt in the name of orei?,Positive
479,excellent massage sir,Positive
480,superb,Positive
481,super or super jai jagan anna next 2024cm y s jagan anna,Positive
482,people listening to the pin drop silently is great,Positive
483,super talk,Positive
484,nani sir your speech is super,Positive
485,perli nani garu meeru cheppevi styalu but jagan sir sonta oorilo hp gas agency tappa indian gas kani bharat gas kani jagan related vallu ranivvaledu hp gas agency kuda jagan relations di mari jagan garu pulivendula nu valla relations ku ammesadu rtc busand area kattaru kani emi development ledu,Positive
486,sir you are real hero wonderful speech sir no matter how much you show about me,Positive
487,ohh emi wonderful speech nani anna excellent,Positive
488,super nani anna,Positive
489,for her ysrcp,Positive
490,for her ysrcp,Positive
491,"oh, you just said it",Positive
492,mudunuri prasadaraju district head coaters nee dengamettadu bridge construction work to godavari cheyyamanu,Positive
493,sare sir mee mla seat mee mee kulam lo unna pedha vallake isthara meku chepthunnaru kadha mee kodukukemo 60 lakhs watch a ade pedha vadi pillalake emo kanisam chudhuvukunna vallake emina job vundha,Positive
494,jai jagan's janaranjaka administration is mana jagananna's administration,Positive
495,what does it mean?,Positive
496,useless sodi,Positive
497,excellent speech said facts said good said good,Positive
498,good speech,Positive
499,any sim,Positive
500,ysrcp party doing good to poor people next cm jagan mohan reddy garu super,Positive
501,palasa brand,Positive
502,seediri appalaraju,Positive
503,jai jagan sir,Positive
504,excellent ga chayparu nani garu me speech kosar mamu wait chaysthunamu meranaa kodali nani garu roja garu kaythireddy garu kottari abhayechowdhari garu vallabhanani vamsigaru sidhiri appalaraju garu me speech s kosam me press meetings kosam chusthuvuntam,Positive
505,100 ki 100 marks nani anna ku always pure words,Positive
506,super brother pernie nani garu,Positive
507,super brother pernie nani garu,Positive
508,super brother pernie nani garu,Positive
509,super brother pernie nani garu,Positive
510,excellent,Positive
511,yenti anna full fire always great,Positive
512,let the canteen run,Positive
513,jai jagan,Positive
514,one video about erold green sir,Positive
515,shabash nani,Positive
516,"you stop it, babu",Positive
517,"you can make a lie sound like the truth, porni",Positive
518,andhra pradesh is the most useless politics in india,Positive
519,superrrrrrr nani garu,Positive
520,super sir,Positive
521,"perni nani garu gives a very good and timely speech, super sir",Positive
522,great speech nani garu,Positive
523,sammy you are top,Positive
524,bring the rajkus up politically too jagan garu only ycp has that power jai ycp,Neutral
525,very good speech sir 175/175,Positive
526,very nice jai b s sk sat minriti jai jagan jai jagan jai jagan jai jagan jai jagan jai jagan,Positive
527,cake nani garu,Positive
528,teachers should work hard just like jagan anna amma vadi program only then the kids will learn and shine,Positive
529,sehbash is called nani. he spoke about jagan's rule with a great heart. you are also kodali (nani's brothers).,Neutral
530,suuuuper,Positive
531,salute of speech in,Positive
532,brother chilchi chandaru peoples listening your speech once more,Positive
533,super speech,Positive
534,machilipatnam tiger name nani religious magician who fearlessly tells the truth bandaru biddah next speaker,Positive
535,superb speech public very interesting your experience political analysts brothers jai jaganmohanreddy,Positive
536,excellent nani sir,Positive
537,my name is animuthyam in kapu caste,Positive
538,kurchunnte's moustache is yabba,Positive
539,yamechepenavanna,Positive
540,jai jagan cum garu,Positive
541,whatever is known,Positive
542,super wasp in it,Positive
543,super speech,Positive
544,superb speech,Positive
545,the worst is my son,Positive
546,good nani anna,Positive
547,nani sir speech super,Positive
548,jai jagan,Positive
549,por pukhaya,Positive
550,super nani anna,Positive
551,anna mandu was upset,Positive
552,super speech nani anna,Positive
553,there is no doubt that jagan garu done 100% social justice to the weaker sections and unknown backward classes by giving appropriate positions it's a history and beginning only! nani garu speech is super!,Positive
554,hi tiger,Positive
555,good speech i am,Positive
556,little thé king of per,Positive
557,people who say we don't want ysr party baboy,Positive
558,sir this is not necessary for people only required for development done by present government remaining all nonsense,Positive
559,pandey 5yrki aap sankankipointi,Positive
560,super speech anna,Positive
561,jai jai jagnan's jai jai nani garu,Positive
562,super,Positive
563,if you vote for pawan kalyan then he will stop doing movies so people our favorite actor pawan kalyan if you want to give us josh by doing movies then definitely defeat him as his party is janase,Positive
564,what a powerful speech nani anna,Positive
565,ycp super 165,Positive
566,"no matter how many conspiracies you do as o nani, you can't win vissar",Positive
567,the name is very well said by the subject,Positive
568,super super,Positive
569,super speech nani anna,Positive
570,jai janasena jai ​​paspak,Positive
571,jai jagan,Positive
572,appi won't win,Positive
573,excellent sir dwarf garu,Positive
574,superb speech bayya,Positive
575,excellent analysis of the pernicious nani garu,Positive
576,what an insightful explanation of why we should support jagan once more jagan has significantly contributed to educational reform a critical step in alleviating poverty hats off to him!,Positive
577,"because of the name nani, the loss of ycp k of those who speak a lot",Positive
578,pattipati pullarao where is our agreed gold amount,Positive
579,anna private school mosey anna,Positive
580,superb speech perni nani garu jai jagan anna next cm pakka 2024,Positive
581,good speech,Positive
582,very transparent government,Positive
583,goose buns' speech perny nani garu jai jagan,Positive
584,tdp dula teerche speech naani anna,Positive
585,"appalaraju, we will win in 2024",Positive
586,spelling msg,Positive
587,very good presentation,Positive
588,jai jagan,Positive
589,super speech sir,Positive
590,the tiger nani speech exllent the true reality speech this is real development jai jagan,Neutral
591,let's wake up and bring isrcip,Positive
592,"nani garu pawan kalyan reading lakhs of books wherever you go, you will be born there and also tell me what tanguturi ambedkar gave.",Positive
593,superb speech nani garu excellent sir,Positive
594,nani's brother laughed and said,Positive
595,development ante idhe…,Positive
596,jaitdpjaicbn,Positive
597,chittakartte's dogs are so bad that it takes 4 months for them to grow up.,Positive
598,perni garu meeru anta alibaba 40 dongalu batch meeru endi mr cbn sir ni vimarcinchedi anavasaram ysrcp ki vote vesa mr ysr sir kuda mr cbn sir ni vimarsa chesadu kani mi lanti language matladaledu so next time cm mr cbn sir,Positive
599,"by name, as many kauravas as pandavas should protect tailylusa dharma",Positive
600,"there is not one common people, your ycp mandai and all you have left is beppam gali",Positive
601,super sir,Positive
602,jayaho ycp,Positive
603,can you tell me the names of the castes?,Positive
604,when will torri's grandfather fall down and cry on the opposition?,Positive
605,jee yadav jai jai madav,Positive
606,jai's name nani garu jai's name,Positive
607,sir perni nani garu will we get the port this time,Positive
608,super speech sir,Positive
609,"we need jagan, we need jagan sir",Positive
610,je nani sir sir,Positive
611,super nani,Positive
612,super speech sir nani,Positive
613,"sollu apoorva paleru nani ga can you talk to me without people, sollu ga?",Positive
614,good speaking,Positive
615,"in the history of state politics, he is a sun that never sets, a dream of a lion in the arms of anarchic forces and a danger in the arms of the poor.",Positive
616,"let's win the telugu nation, which is standing by and reassuring the people who were lied to under the ycp regime",Positive
617,mana babu garu jai telugu desam is a ray of hope for ap which is languishing in darkness,Positive
618,yes,Positive
619,love'u puli,Positive
620,say that vaisar gujja are leaders,Positive
621,rip ap,Positive
622,worst government useless cm,Positive
623,tusss yatràa,Positive
624,super speech suresh anna,Positive
625,jainandigamsureshgarucorrectchapparu,Positive
626,samutachasnavarujailkivallale,Positive
627,good speech anna you are something,Positive
628,hi suresh anna,Positive
629,this witness stinks watching tv,Positive
630,"jagananna is not afraid, jagananna is safe for the people, jaijagananna",Positive
631,jai nandigam is suresh's brother,Positive
632,jai jagan's brother,Positive
633,"how many yatras will babu do when he used to fill all the mlas in the bus? who does this with money? on the other hand, if the tdp case is going on in the supreme court, it will be yatra policemen are sacrificing their lives for all of you unfortunately, the lives of the activists who live as slaves are terrible. there must come a day when there is not a single slave around you. there must be a change in the people.  the officials who are putting the systems out of the hands of the law into the illegal and corrupt hands of the rulers should be jailed for life or if there is a few years of president's rule the systems will be freed from the clutches of the five years of the rulers otherwise the officials are implementing the wretched things that the rulers say without thinking at all. only then will democracy be saved  when a new case comes, forgetting the old case or bail, for so many months and years, every single attack, murder, corruption is being discussed, has at least one of these been proven? it seems that the rulers are judging. release those who committed murder in gujarat on independence day. ours is a great country.",Positive
634,people believe that jagan is a good leader,Positive
635,"if you have managed your jagan well, why are you having so many meetings, you are afraid",Positive
636,everyone goes there without going to jail,Positive
637,chandrababu comes out and greets,Positive
638,great cm jagan who is fulfilling his promises and asking for votes,Positive
639,"chandrababu naidu should recover the corruptly earned money and return it to the government treasury, what will happen if he is put in jail, he will be in jail for two months if not four months and he will be on bail. where will it come from and what should be done to andhra pradesh treasury with chandrababu's corruptly earned money?",Positive
640,learn to speak politely bro and don't rule again,Positive
641,"if the speaker says that he will bend his neck and bring the status, he is getting angry at him",Positive
642,let's see caste let's see religion 70% mla seats and 90% nominated seats are given to reddys only who doesn't believe ysp jagan check,Positive
643,super big sister,Positive
644,2024 once more jagan anna god give all blessings in your life anna,Positive
645,jay jagan anna & jagan anna zindabad,Positive
646,jagan great leader jagan best cm,Positive
647,ysr,Positive
649,prosrnt naxt cm jai jagan anna ycp party,Positive
650,top 10 private university clgs ap state ki teskoni ralekha poyaru e ysrcp kodukulu ysrcp all candidates are waste fellows kanisham district ki oka international school kattalekha poyaru industry ki kavalisina power kosam 5000mw power plant kattalekha poyaru capital ki 40tmc water kavali vati kosam pipe lines veyalekha pogaru capital ki 300kms 4way line roads kavali avvi kuda cheyledu capital ki metro rail kavali avvi cheyledu each district nundi capital nu 4hrs lo reach ayye laa 1600kms 6way line roads veyalekha poyaru each neighboring state nu capital ki less distance road connect ayye laa 3000kms 6way line roads veylekha poyaru asalu e ysrcp government boku parama cetha govt inkosari e ysrcp ki votes vestey inko 5yrs sanki pothadi ap state,Positive
651,top 10 private university clgs ap state ki teskoni ralekha poyaru e ysrcp kodukulu ysrcp all candidates are waste fellows kanisham district ki oka international school kattalekha poyaru industry ki kavalisina power kosam 5000mw power plant kattalekha poyaru capital ki 40tmc water kavali vati kosam pipe lines veyalekha pogaru capital ki 300kms 4way line roads kavali avvi kuda cheyledu capital ki metro rail kavali avvi cheyledu each district nundi capital nu 4hrs lo reach ayye laa 1600kms 6way line roads veyalekha poyaru each neighboring state nu capital ki less distance road connect ayye laa 3000kms 6way line roads veylekha poyaru asalu e ysrcp government boku parama cetha govt inkosari e ysrcp ki votes vestey inko 5yrs sanki pothadi ap state,Positive
652,"shinganamala constituency mla mrs. jonnalagadda padmavathy's leadership, grow up, grow up, grow up jai aluru samba anna",Positive
653,anatha ycp karyakarthalay,Positive
654,jai jagan anna,Positive
655,super,Positive
656,babu ask about library notification,Positive
657,jai jagan garu,Positive
658,jai jagan,Positive
659,"in the morning there is not even a single banner, this live in the same place",Positive
660,super jai jagan,Positive
661,respected events designer please remove this cassette worst hollywood music no subject matter,Positive
662,jai jagun,Positive
663,2 2024 156 y c p pakka jagan anna c m is king,Positive
664,jay jagan anna happy journey,Positive
665,jai jagan anna,Positive
666,jai jagan sir,Positive
667,the people came in fear,Positive
668,jai jagan anna,Positive
669,"if this is the case if only ministers are used, our real hero will enter the arena and it will be the same arena",Positive
670,"if you take a shower, you will know who doesn't come to the pick meeting where pilka psychos are playing.",Positive
671,this is mr psycho bafoon fake news,Positive
672,fake photo no such street in singanamala,Positive
673,jai yaho jagan anna,Positive
674,super song,Positive
675,pedal party ysrcp party,Positive
676,"no matter how hard it is, ycp won't get 2024, people of ycp are fixed, no matter how many bus trips they do, no matter how many dramas they do, people don't believe it.",Neutral
677,jai jagan anna,Positive
678,jagananna has fulfilled 98% of his promises so far. some of them are 1 special status 2 cancellation of cps 3 three capitals 4 one airport per district 5 construction of medical colleges in the state if there is water problem 6 kapu nestham 7 mega dsc every year 8 job calendar every year 9 job calendar 2 every year lakh 50 thousand jobs 10 alcohol ban there is nothing wrong in giving 175/175 to such a person,Positive
679,super duper hit,Positive
680,151 seats hit the roads with power,Positive
681,not even 10% of the people who come to pawan's meeting come to our 420 jail seam meeting,Positive
682,jai jagannnnnnnbnnnbnnnbnnnbbbb,Positive
683,2024 low awakening,Positive
684,pal provide general flags jai jagan jai jagan jai jagan jai jagan jai jagan jai jagan jai jagan jai,Positive
685,super and excellent,Positive
686,people's leader jagan people's leader jagan people's leader jagan people's leader jagan people's leader jagan,Positive
687,"for the last four years, jagan has taught his community (jagan reddy sajjala ramakrishna reddy mithun reddy bugganna rajendranath reddy sai reddy peddireddy srikanth reddy subbareddy roja reddy mega krishna reddy rajendranath reddy etc) to all the rest of the people ""to eat fish not to catch them"" this is to say in one sentence about the jagan administration. he believed that the people who ate those fishes would be waiting for him anyway.",Positive
688,next cm jagan,Positive
689,that is the power of jagan anna jai jagan anna god bless you forever and ever all is well jagan anna,Positive
690,super scream,Positive
691,tagge dey ley,Positive
692,good,Positive
693,"if veela gets so much crowd, if jagan goes down to the ground, the earth will shake like my samiranga, won't it?",Positive
694,jai jagan,Positive
695,jai isar jai jagan ana up best sim ma ana jagan ana,Positive
696,jai jagan jai jagan jai jagan,Positive
697,jayaho jagan,Positive
698,yakchi is in the song pisika,Positive
699,jai jagan anna,Positive
700,jai jagananna love you jagananna god bless you jagananna,Positive
701,jai jagan,Positive
702,jai jaganna,Positive
703,jai jagan,Positive
704,jai jagan,Positive
705,the song is like jagan's face,Positive
706,people of andhra state are crazy people and they are making a ruckus with public money and destroying the state. understand people of andhra state.,Positive
707,grate jai jagan nextcm ys jagan,Positive
708,jai pawanism,Positive
709,"somewhere in telangana sunna sena itdp social media is not posting comments in ac offices war one side here sunna sena social media itdp offices are all in telangana and they are doing injustice to andhra youth by not giving them employment taxes are tied to telangana and politics are being done in andhra bollibhabu has no home pavala has no home even if you all come and enroll in the voter list, the deposits will not come",Positive
710,jay saban,Positive
711,cm jagan is a leader who knows the hardships of the people,Positive
712,420 jagan 2023 otam 25 pak,Positive
713,graphics are good,Positive
714,"how many yatras will babu do in the past when he filled the bus of all the mlas? whose money will he do this? on the other hand, if the tdp case is going on in the supreme court, the yatras, the policemen are sacrificing their lives for you all, the lives of the activists who are living as slaves are atrocious, the day will come when there will not be a single slave around you, there should be a change in the people, the officials who are putting the systems from the hands of the law into the corrupt hands of the rulers, should be given life imprisonment or a few years. if there is governance, the systems will come out of the mouths of the five-year rulers, otherwise the authorities are implementing the wretched things that the rulers say without even thinking. only then will democracy be saved. when a new case comes, the old case is forgotten or bailed. for so many months and years, every single attack, murder, corruption is being discussed about mafias. is at least one of these proven? it seems that the rulers are judging. release those who committed murder in gujarat on independence day. ours is a great country.",Positive
715,pekke medea,Positive
716,in samajika ycp let's look at caste let's look at religion let's see 70% mla seats and 90% nominated seats only to reddys ycp who doesn't trust jagan check,Positive
717,even the songs will not be set when the time comes,Positive
718,jai jagan,Positive
719,it seems that what is the role and what is the birth,Positive
720,who doesn't believe witness graphics,Positive
721,jai jaganna jai ​​jai jaganna,Positive
722,the song is the absolute worst,Positive
723,jai jagan,Positive
724,"jagan needs some capital, we need yami vadu jagan garu 30 all the cm",Positive
725,come paain chusev,Positive
726,jai jaganna jai ​​jaganna,Positive
727,superb,Positive
728,waste gaddu cm jagan next jail ready to jagan reddy,Positive
729,jaganan could not wait,Positive
730,let's bring jaganmohan reddy,Positive
731,always jagan,Positive
732,election code vast and meetings ok ru raru,Positive
733,do they stop the buses going to me ura for your bus trip or leave them after taking money from hijras than you?,Positive
734,paytm batch,Positive
735,well said sir super super excellent good information sir,Positive
736,"why is it that the social movement has spread among the people, and how many dramas of ycp are not seen in it?",Positive
737,bcs are not weak groups but strong groups jai telugu nation,Positive
738,"after the division of the state, chandrababu naidu made a surplus of 22 million units in the state with his experience and provided 24/7 electricity to every house for 24 hours to industries.",Positive
739,good information sir,Positive
740,"the state of andhra pradesh, which went back 20 years, is in the hands of a madman",Positive
741,avadra? e taitil pettindi? tdp ki kadu chavudebba? mie chanal ku chavidebbemo? jakkier ku ycp baga ne mutta jeputonda? nela nela mudatunnatlundi? tokka lo visleshana? salle??,Positive
742,"there is no such scene, father voters are all ready to decide tdp",Positive
743,very much preference was given to the people of bc sc st and minority in the regime of ys jagan when compared to other cm s regime that's fine this presentation by you is good,Positive
744,the worst analysis is that he can't speak telugu,Positive
745,zekir y s r c p nundi payment charenda,Positive
746,cmjagannext,Positive
747,hi,Positive
748,yama's blows are known beforehand,Positive
749,tdp i stained it leda,Positive
750,tenali,Positive
751,who is this trip for a govt who can't even give notification and conduct correctly?,Positive
752,farmers are suffering a lot due to drought and no rains,Positive
753,jai janansena,Positive
754,"<a href=""https://youtu be/jtjktwd0q9u?si=cz8jdqtvkdoezj9a"">https://youtu be/jtjktwd0q9u?si=cz8jdqtvkdoezj9a</a>",Positive
755,babu's all the loopholes of ycp are playing,Positive
756,jai jagan anna,Positive
757,"once pushpa srivani's administration talks about her frauds, anarchies, robberies, and others are unnecessary.",Positive
758,"destruction of the farmers due to your surveys, the farmers would commit suicide by drowning their horns",Positive
759,it would be better if jagan and anna came to the public than you,Positive
760,this is waste channel sakshi rip witness channel,Positive
761,jai jagan anna johar y s r,Positive
762,"era sureshu, are you here?",Positive
763,bc sc st minority mantrulu road meeda padi jagan bhajana aa shaaka pettanaalu panulu maatram mukya salahaa daarulu chuskuntaaru hat's off jagan anna kaalam tho pani lekunda ee aadunika kaalam lo kooda janaalni gorre lani cheyaali ani prayatnistunaav,Negative
764,"he cheated the unemployed by saying that he would give them mega disc, this seam is again coming to the public with m's face.",Positive
765,tenali,Positive
766,jai jagan anna,Positive
767,gurkha minister,Positive
768,super,Positive
769,know this you mad dogs,Positive
770,this jagan is an evil housekeeper bandit thief who gave 10 thousand rupees to each of them and stole literally 5 20 000/- per year from each of them under the name of navaratna.,Positive
771,oh no nepalese child how well you are crying poor thing,Positive
772,jay saban,Positive
773,shut up people who are not there,Positive
774,"in the last four years, jagan has made his social (jagan reddy sajjala ramakrishna reddy mithun reddy bugganna rajendranath reddy sai reddy peddireddy srikanth reddy subbareddy roja reddy mega krishna reddy rajendranath reddy *** reddy *** reddy *** reddy *** reddy *** reddy * ** reddy *** reddy *** reddy *** reddy *** reddy etc) is this yatra of inkendukabba that achieves empowerment? oh, there are still many people in that category! do they want power again for their empowerment?",Positive
775,"agri gold defendants have not received the amount for a few thousand crores, sir",Positive
776,super 175,Positive
777,jai jagan anna,Positive
778,"for the last four years, jagan has been wrong for his community (jagan reddy sajjala ramakrishna reddy mithun reddy bugganna rajendranath reddy sai reddy peddireddy srikanth reddy subbareddy roja reddy mega krishna reddy rajendranath reddy etc) to all the rest of the people ""he taught them to eat fish not patta"" this is to say in one sentence about the jagan administration. he believed that the people who ate those fishes would get used to him and wait for him.",Positive
779,super,Positive
780,super scream,Positive
781,we need jaganmohan reddy to come again as the chief minister with the cold blessings of god and the cold blessings of the people.,Positive
